AllocateAddress,closed,,
AssignPrivateIpAddresses,,,
AssociateAddress,closed,,
AssociateDhcpOptions,,,
AssociateRouteTable,closed,,
AttachInternetGateway,closed,,
AttachNetworkInterface,,,
AttachVolume,closed,,
AttachVpnGateway,closed,,
AuthorizeSecurityGroupEgress,closed,,
AuthorizeSecurityGroupIngress,closed,,
BundleInstance,,,
CancelBundleTask,,,
CancelConversionTask,,,
CancelExportTask,,,
CancelReservedInstancesListing,,,
CancelSpotInstanceRequests,,,
ConfirmProductInstance,,,
CreateCustomerGateway,closed,,
CreateDhcpOptions,,,
CreateImage,closed,,
CreateInstanceExportTask,,,
CreateInternetGateway,closed,,
CreateKeyPair,closed,,
CreateNetworkAcl,closed,,
CreateNetworkAclEntry,closed,,
CreateNetworkInterface,,,
CreatePlacementGroup,,,
CreateReservedInstancesListing,,,
CreateRoute,,,
CreateRouteTable,closed,,
CreateSecurityGroup,closed,,
CreateSnapshot,closed,,
CreateSpotDatafeedSubscription,,,
CreateSubnet,closed,,
CreateTags,closed,,
CreateVolume,closed,,
CreateVpc,closed,,
CreateVpnConnection,,,
CreateVpnConnectionRoute,,,
CreateVpnGateway,closed,,
DeleteCustomerGateway,closed,,
DeleteDhcpOptions,,,
DeleteInternetGateway,closed,,
DeleteKeyPair,closed,,
DeleteNetworkAcl,closed,,
DeleteNetworkAclEntry,closed,,
DeleteNetworkInterface,,,
DeletePlacementGroup,,,
DeleteRoute,,,
DeleteRouteTable,closed,,
DeleteSecurityGroup,closed,,
DeleteSnapshot,closed,,
DeleteSpotDatafeedSubscription,,,
DeleteSubnet,closed,,
DeleteTags,closed,,
DeleteVolume,closed,,
DeleteVpc,closed,,
DeleteVpnConnection,,,
DeleteVpnConnectionRoute,,,
DeleteVpnGateway,closed,,
DeregisterImage,closed,,
DescribeAddresses,closed,,
DescribeAvailabilityZones,closed,,
DescribeBundleTasks,,,
DescribeConversionTasks,,,
DescribeCustomerGateways,closed,,
DescribeDhcpOptions,,,
DescribeExportTasks,,,
DescribeImageAttribute,closed,,
DescribeImages,closed,,
DescribeInstanceAttribute,closed,,
DescribeInstances,closed,,
DescribeInstanceStatus,closed,,
DescribeInternetGateways,closed,,
DescribeKeyPairs,closed,,
DescribeNetworkAcls,closed,,
DescribeNetworkInterfaceAttribute,,,
DescribeNetworkInterfaces,,,
DescribePlacementGroups,,,
DescribeRegions,closed,,
DescribeReservedInstances,,,
DescribeReservedInstancesListings,,,
DescribeReservedInstancesOfferings,,,
DescribeRouteTables,closed,,
DescribeSecurityGroups,closed,,
DescribeSnapshotAttribute,,,
DescribeSnapshots,closed,,
DescribeSpotDatafeedSubscription,,,
DescribeSpotInstanceRequests,,,
DescribeSpotPriceHistory,,,
DescribeSubnets,closed,,
DescribeTags,closed,,
DescribeVolumes,closed,,
DescribeVolumeAttribute,closed,,
DescribeVolumeStatus,closed,,
DescribeVpcs,closed,,
DescribeVpnConnections,closed,,
DescribeVpnGateways,closed,,
DetachInternetGateway,closed,,
DetachNetworkInterface,,,
DetachVolume,closed,,
DetachVpnGateway,closed,,
DisableVgwRoutePropagation,,,
DisassociateAddress,closed,,
DisassociateRouteTable,closed,,
EnableVgwRoutePropagation,,,
EnableVolumeIO,closed,,
GetConsoleOutput,closed,,
GetPasswordData,,not tested,
ImportInstance,,,
ImportKeyPair,closed,,
ImportVolume,,,
ModifyImageAttribute,,,
ModifyInstanceAttribute,closed,,
ModifyNetworkInterfaceAttribute,,,
ModifySnapshotAttribute,,,
ModifyVolumeAttribute,closed,,
MonitorInstances,,,
PurchaseReservedInstancesOffering,,,
RebootInstances,closed,,
RegisterImage,closed,,
ReleaseAddress,closed,,
ReplaceNetworkAclAssociation,closed,,
ReplaceNetworkAclEntry,closed,,
ReplaceRoute,,,
ReplaceRouteTableAssociation,closed,,
ReportInstanceStatus,,,
RequestSpotInstances,,,
ResetImageAttribute,,,
ResetInstanceAttribute,closed,,
ResetNetworkInterfaceAttribute,,,
ResetSnapshotAttribute,,,
RevokeSecurityGroupEgress,closed,,
RevokeSecurityGroupIngress,closed,,
RunInstances,,not tested,network interfaces
StartInstances,closed,,
StopInstances,closed,,
TerminateInstances,closed,,
UnassignPrivateIpAddresses,,,
UnmonitorInstances,,,
